op[0][3][11]=Max([0][6][11]:0.000000	[0][7][11]:0.000000	[1][6][11]:0.000000	[1][7][11]:0.000000)=0.000000
op[0][3][12]=Max([0][6][12]:0.000000	[0][7][12]:0.000000	[1][6][12]:0.000000	[1][7][12]:0.000000)=0.000000
op[0][3][13]=Max([0][6][13]:0.000000	[0][7][13]:0.000000	[1][6][13]:0.000000	[1][7][13]:0.000000)=0.000000
op[0][3][14]=Max([0][6][14]:0.000000	[0][7][14]:0.000000	[1][6][14]:0.000000	[1][7][14]:0.000000)=0.000000
op[0][3][15]=Max([0][6][15]:0.000000	[0][7][15]:0.000000	[1][6][15]:0.000000	[1][7][15]:0.000000)=0.000000
op[0][3][16]=Max([0][6][16]:0.040415	[0][7][16]:0.040415	[1][6][16]:0.040415	[1][7][16]:0.040415)=0.040415
op[0][3][17]=Max([0][6][17]:0.000000	[0][7][17]:0.000000	[1][6][17]:0.000000	[1][7][17]:0.000000)=0.000000
op[0][3][18]=Max([0][6][18]:0.000000	[0][7][18]:0.000000	[1][6][18]:0.000000	[1][7][18]:0.000000)=0.000000
op[0][3][19]=Max([0][6][19]:0.001898	[0][7][19]:0.001898	[1][6][19]:0.001898	[1][7][19]:0.001898)=0.001898
op[0][3][20]=Max([0][6][20]:0.000000	[0][7][20]:0.000000	[1][6][20]:0.000000	[1][7][20]:0.000000)=0.000000
op[0][3][21]=Max([0][6][21]:0.000000	[0][7][21]:0.000000	[1][6][21]:0.000000	[1][7][21]:0.000000)=0.000000
op[0][3][22]=Max([0][6][22]:0.000000	[0][7][22]:0.000000	[1][6][22]:0.000000	[1][7][22]:0.000000)=0.000000
op[0][3][23]=Max([0][6][23]:0.000000	[0][7][23]:0.000000	[1][6][23]:0.000000	[1][7][23]:0.000000)=0.000000
op[0][3][24]=Max([0][6][24]:0.000000	[0][7][24]:0.000000	[1][6][24]:0.000000	[1][7][24]:0.000000)=0.000000
op[0][3][25]=Max([0][6][25]:0.000000	[0][7][25]:0.000000	[1][6][25]:0.000000	[1][7][25]:0.000000)=0.000000
op[0][3][26]=Max([0][6][26]:0.000000	[0][7][26]:0.000000	[1][6][26]:0.000000	[1][7][26]:0.000000)=0.000000
op[0][3][27]=Max([0][6][27]:0.000000	[0][7][27]:0.000000	[1][6][27]:0.000000	[1][7][27]:0.000000)=0.000000
op[0][3][28]=Max([0][6][28]:0.000000	[0][7][28]:0.000000	[1][6][28]:0.000000	[1][7][28]:0.000000)=0.000000
op[0][3][29]=Max([0][6][29]:0.000000	[0][7][29]:0.000000	[1][6][29]:0.000000	[1][7][29]:0.000000)=0.000000
op[0][3][30]=Max([0][6][30]:0.000000	[0][7][30]:0.000000	[1][6][30]:0.000000	[1][7][30]:0.000000)=0.000000
op[0][3][31]=Max([0][6][31]:0.000000	[0][7][31]:0.000000	[1][6][31]:0.000000	[1][7][31]:0.000000)=0.000000
op[0][4][0]=Max([0][8][0]:0.000000	[0][9][0]:0.000000	[1][8][0]:0.000000	[1][9][0]:0.000000)=0.000000
op[0][4][1]=Max([0][8][1]:0.000000	[0][9][1]:0.000000	[1][8][1]:0.000000	[1][9][1]:0.000000)=0.000000
op[0][4][2]=Max([0][8][2]:0.000000	[0][9][2]:0.000000	[1][8][2]:0.000000	[1][9][2]:0.000000)=0.000000
op[0][4][3]=Max([0][8][3]:0.000000	[0][9][3]:0.000000	[1][8][3]:0.000000	[1][9][3]:0.000000)=0.000000
op[0][4][4]=Max([0][8][4]:0.000000	[0][9][4]:0.000000	[1][8][4]:0.000000	[1][9][4]:0.000000)=0.000000
op[0][4][5]=Max([0][8][5]:0.000000	[0][9][5]:0.000000	[1][8][5]:0.000000	[1][9][5]:0.000000)=0.000000
op[0][4][6]=Max([0][8][6]:0.068489	[0][9][6]:0.068489	[1][8][6]:0.068489	[1][9][6]:0.068489)=0.068489
op[0][4][7]=Max([0][8][7]:0.000000	[0][9][7]:0.000000	[1][8][7]:0.000000	[1][9][7]:0.000000)=0.000000
op[0][4][8]=Max([0][8][8]:0.000000	[0][9][8]:0.000000	[1][8][8]:0.000000	[1][9][8]:0.000000)=0.000000
op[0][4][9]=Max([0][8][9]:0.015651	[0][9][9]:0.015651	[1][8][9]:0.015651	[1][9][9]:0.015651)=0.015651
op[0][4][10]=Max([0][8][10]:0.000000	[0][9][10]:0.000000	[1][8][10]:0.000000	[1][9][10]:0.000000)=0.000000
op[0][4][11]=Max([0][8][11]:0.000000	[0][9][11]:0.000000	[1][8][11]:0.000000	[1][9][11]:0.000000)=0.000000
op[0][4][12]=Max([0][8][12]:0.000000	[0][9][12]:0.000000	[1][8][12]:0.000000	[1][9][12]:0.000000)=0.000000
op[0][4][13]=Max([0][8][13]:0.000000	[0][9][13]:0.000000	[1][8][13]:0.000000	[1][9][13]:0.000000)=0.000000
op[0][4][14]=Max([0][8][14]:0.000000	[0][9][14]:0.000000	[1][8][14]:0.000000	[1][9][14]:0.000000)=0.000000
op[0][4][15]=Max([0][8][15]:0.000000	[0][9][15]:0.000000	[1][8][15]:0.000000	[1][9][15]:0.000000)=0.000000
op[0][4][16]=Max([0][8][16]:0.040415	[0][9][16]:0.040415	[1][8][16]:0.040415	[1][9][16]:0.040415)=0.040415
op[0][4][17]=Max([0][8][17]:0.000000	[0][9][17]:0.000000	[1][8][17]:0.000000	[1][9][17]:0.000000)=0.000000
op[0][4][18]=Max([0][8][18]:0.000000	[0][9][18]:0.000000	[1][8][18]:0.000000	[1][9][18]:0.000000)=0.000000
op[0][4][19]=Max([0][8][19]:0.001898	[0][9][19]:0.001898	[1][8][19]:0.001898	[1][9][19]:0.001898)=0.001898
op[0][4][20]=Max([0][8][20]:0.000000	[0][9][20]:0.000000	[1][8][20]:0.000000	[1][9][20]:0.000000)=0.000000
op[0][4][21]=Max([0][8][21]:0.000000	[0][9][21]:0.000000	[1][8][21]:0.000000	[1][9][21]:0.000000)=0.000000
op[0][4][22]=Max([0][8][22]:0.000000	[0][9][22]:0.000000	[1][8][22]:0.000000	[1][9][22]:0.000000)=0.000000
op[0][4][23]=Max([0][8][23]:0.000000	[0][9][23]:0.000000	[1][8][23]:0.000000	[1][9][23]:0.000000)=0.000000
op[0][4][24]=Max([0][8][24]:0.000000	[0][9][24]:0.000000	[1][8][24]:0.000000	[1][9][24]:0.000000)=0.000000
op[0][4][25]=Max([0][8][25]:0.000000	[0][9][25]:0.000000	[1][8][25]:0.000000	[1][9][25]:0.000000)=0.000000
op[0][4][26]=Max([0][8][26]:0.000000	[0][9][26]:0.000000	[1][8][26]:0.000000	[1][9][26]:0.000000)=0.000000
op[0][4][27]=Max([0][8][27]:0.000000	[0][9][27]:0.000000	[1][8][27]:0.000000	[1][9][27]:0.000000)=0.000000
op[0][4][28]=Max([0][8][28]:0.000000	[0][9][28]:0.000000	[1][8][28]:0.000000	[1][9][28]:0.000000)=0.000000
op[0][4][29]=Max([0][8][29]:0.000000	[0][9][29]:0.000000	[1][8][29]:0.000000	[1][9][29]:0.000000)=0.000000
op[0][4][30]=Max([0][8][30]:0.000000	[0][9][30]:0.000000	[1][8][30]:0.000000	[1][9][30]:0.000000)=0.000000
op[0][4][31]=Max([0][8][31]:0.000000	[0][9][31]:0.000000	[1][8][31]:0.000000	[1][9][31]:0.000000)=0.000000
op[0][5][0]=Max([0][10][0]:0.000000	[0][11][0]:0.000000	[1][10][0]:0.000000	[1][11][0]:0.000000)=0.000000
op[0][5][1]=Max([0][10][1]:0.000000	[0][11][1]:0.000000	[1][10][1]:0.000000	[1][11][1]:0.000000)=0.000000
op[0][5][2]=Max([0][10][2]:0.000000	[0][11][2]:0.000000	[1][10][2]:0.000000	[1][11][2]:0.000000)=0.000000
